"","tweet"
"1"," youre uber eats driver  walking just cancel  food bro "
"2"," uber proud  see   great turnout   first tanggathon session last night thank  everyone  coming"
"3"," wed like  take  look   weve sent   direct message please check  inbox thank "
"4","new just announced  partnership  uber  offer young voters  georgia free rides  amp  poll"
"5"," dont     adds   facenook uber viber snapchat facebook add  showing amp annoy "
"6","  uber eats commercial  worse mentions   favorite cult"
"7"," dont order uber eats    days  start getting aggressive w  notifications  know  aint eat tod"
"8","update listening  twin flame  sobbing   uber"
"9","delhi police asks uber  verify drivers  onboarding  check alcohol level  ride devdiscourse  te "
"10"," just nowbook aridw driver  come  loction    stayvsome way  canclled trip uber  ca"
"11"," taking  huge chunk  every sale  using hardware   os  force pe "
"12","  will like  buy  tokunbo corolla  uber business  know  m cant  anoff  will add  little change  "
"13","noww thats  screammmer swaaaggg written    vijay thalapathy swag  andha hand la tea glass giving  local fl"
"14","baltimore police say   investigating  string  robberies    ride share drivers  carjacked  "
"15","lol wait till yall find   uber drivers  also bolt drivers maybe   guys will stop asking people  que"
"16","think    uber driver  gets  venmo payout   treasury publicly targets   now think abo"
"17"," uber"
"18","oh  god   leave   stealing  car   also   fake uber driver  robbing  riders  c "
"19","  met   accident  uber shuttle shuttle door     stopper driver start  bus  s "
"20","ladies please dont request uberbolt   dont  money  pay    drivers  will accept clito currency"
"21","ene   keep telling yall   people actually     choice bc uber   operate   areas s"
"22","dear  know   person life coaches  super nervous   blue check validation   yo "
"23"," great job mr president keep lowering gas prices   student can make  money driving uber  pay  student loans"
"24"," just nowbook aridw driver  come  loction    stayvsome way  canclled trip uber  "
"25","remember  woman  dc  shouted racial slurs   black uber driver amp called   slave    "
"26"," last two uber drivers   going   hella conservative rants aaaaaandddddd im just  like bro shut "
"27","every single uber driver ive   miami  actively tried  kill    driving"
"28"," mobile number email address name   details requested provided   solution offered bcz "
"29"," strikes  ubercool pose   full  swag   new poster ground promotions will st"
"30"," sorry   trouble u       regular feature  ola amp uber  "
"31"," explain     dont use  yellow cab   jfk minute wait    illegal cabs  stairs"
"32"," believe uber successful h h h"
"33","  need    use  code votega   uber app  click get  ride   polling"
"34","    disgrace   platform  work  full time cause  care less   driver cause  w"
"35","lots  young people dont   simple way  get   polls    helping fund"
"36","new  teaming    help provide free uber rides    polling places  georg"
"37","also theres  error right now  uber app  can get  large peppermint mcflurry  snack size  like "
"38","  two big mac meals uber eats  demonic"
"39","  thought  uber driver asked    going   bar   said yeah   asked  im  brazil   "
"40"," im going  uber husband changed jobs  couple months ago works  home mostly bu "
