"","tweet","sentiment"
"1"," youre uber eats driver  walking just cancel  food bro ","neutral"
"2"," uber proud  see   great turnout   first tanggathon session last night thank  everyone  coming","positive"
"3"," wed like  take  look   weve sent   direct message please check  inbox thank ","positive"
"4","new just announced  partnership  uber  offer young voters  georgia free rides  amp  poll","positive"
"5"," dont     adds   facenook uber viber snapchat facebook add  showing amp annoy ","negative"
"6","  uber eats commercial  worse mentions   favorite cult","neutral"
"7"," dont order uber eats    days  start getting aggressive w  notifications  know  aint eat tod","negative"
"8","update listening  twin flame  sobbing   uber","neutral"
"9","delhi police asks uber  verify drivers  onboarding  check alcohol level  ride devdiscourse  te ","neutral"
"10"," just nowbook aridw driver  come  loction    stayvsome way  canclled trip uber  ca","neutral"
"11"," taking  huge chunk  every sale  using hardware   os  force pe ","neutral"
"12","  will like  buy  tokunbo corolla  uber business  know  m cant  anoff  will add  little change  ","positive"
"13","noww thats  screammmer swaaaggg written    vijay thalapathy swag  andha hand la tea glass giving  local fl","neutral"
"14","baltimore police say   investigating  string  robberies    ride share drivers  carjacked  ","neutral"
"15","lol wait till yall find   uber drivers  also bolt drivers maybe   guys will stop asking people  que","neutral"
"16","think    uber driver  gets  venmo payout   treasury publicly targets   now think abo","neutral"
"17"," uber","neutral"
"18","oh  god   leave   stealing  car   also   fake uber driver  robbing  riders  c ","negative"
"19","  met   accident  uber shuttle shuttle door     stopper driver start  bus  s ","neutral"
"20","ladies please dont request uberbolt   dont  money  pay    drivers  will accept clito currency","neutral"
"21","ene   keep telling yall   people actually     choice bc uber   operate   areas s","neutral"
"22","dear  know   person life coaches  super nervous   blue check validation   yo ","neutral"
"23"," great job mr president keep lowering gas prices   student can make  money driving uber  pay  student loans","positive"
"24"," just nowbook aridw driver  come  loction    stayvsome way  canclled trip uber  ","neutral"
"25","remember  woman  dc  shouted racial slurs   black uber driver amp called   slave    ","negative"
"26"," last two uber drivers   going   hella conservative rants aaaaaandddddd im just  like bro shut ","negative"
"27","every single uber driver ive   miami  actively tried  kill    driving","negative"
